CO_CNES,CO_UNIDADE,CO_UF,CO_IBGE,NU_CNPJ_MANTENEDORA,NO_RAZAO_SOCIAL,NO_FANTASIA,CO_NATUREZA_ORGANIZACAO,DS_NATUREZA_ORGANIZACAO,TP_GESTAO,CO_NIVEL_HIERARQUIA,DS_NIVEL_HIERARQUIA,CO_ESFERA_ADMINISTRATIVA,DS_ESFERA_ADMINISTRATIVA,CO_ATIVIDADE,TP_UNIDADE,CO_CEP,NO_LOGRADOURO,NU_ENDERECO,NO_BAIRRO,NU_TELEFONE,NU_LATITUDE,NU_LONGITUDE,CO_TURNO_ATENDIMENTO,DS_TURNO_ATENDIMENTO,NU_CNPJ,NO_EMAIL,CO_NATUREZA_JUR,ST_CENTRO_CIRURGICO,ST_CENTRO_OBSTETRICO,ST_CENTRO_NEONATAL,ST_ATEND_HOSPITALAR,ST_SERVICO_APOIO,ST_ATEND_AMBULATORIAL,CO_MOTIVO_DESAB,CO_AMBULATORIAL_SUS,leitos
102075,3550300102075,35,355030,46392130000380.0,PREFEITURA DO MUNICIPIO DE SAO PAULO,HOSPITAL MUNICIPAL SANTA DULCE DOS POBRES,,,M,,,M ,MUNICIPAL,4,5,1309010,RUA ANTONIO CARLOS,122,CONSOLACAO,42102970,-23.4757,-46.6974281,4,"ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE",,,1031,0.0,0.0,0.0,0.0,1,1,,NAO,60
102105,3550300102105,35,355030,46392130000380.0,SECRETARIA MUNICIPAL DA SAUDE,HOSPITAL MUNICIPAL BRASILANDIA,,,M,,,M ,MUNICIPAL,4,5,2806160,MICHIHISA MURATA,150,JARDIM MARISTELA,113135-7060,-23.4757036,-46.6974047,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",46392148006070.0,DMELLONE@PREFEITURA.SP.GOV.BR,1031,1.0,0.0,0.0,1.0,1,1,,SIM,261
110612,3519070110612,35,351907,67995027000132.0,PREFEITURA MUNICIPAL DE HORTOLANDIA,UNIDADE RESPIRATORIA NOVA HORTOLANDIA,,,M,,,M ,MUNICIPAL,4,5,13183611,RUA JOAO RIBEIRO EVANGELISTA,200,JD NOVA HORTOLANDIA,,-22.85804493,-47.22001076,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",,,1244,0.0,0.0,0.0,0.0,1,1,4.0,SIM,0
115509,3528500115509,35,352850,46523163000150.0,MUNICIPIO DE MAIRIPORA,HOSPITAL DE CLINICAS ANJO GABRIEL,,,M,,,M ,MUNICIPAL,4,5,7629658,RUA SAO JUDAS TADEU,200,CAPOAVINHA,(11)44192521,-23.27696793,-46.56528899,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",,gerenciamairipora@alphainstituto.com.br,1244,0.0,0.0,0.0,0.0,1,1,,SIM,31
127604,3505700127604,35,350570,46523015000135.0,MUNICIPIO DE BARUERI,HOSPITAL DE RETAGUARDA DO JARDIM PAULISTA,,,M,,,M ,MUNICIPAL,4,5,6447020,AVENIDA CIDADE DE ITU,346,JARDIM ITAPARICA,(11) 3164-9591,-23.54080587,-46.88161254,4,"ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE",,saude.scnes@barueri.sp.gov.br,1244,0.0,0.0,0.0,1.0,1,1,,SIM,61
133035,3513400133035,35,351340,46668596000101.0,PREFEITURA MUNICIPAL DE CRUZEIRO,CENTRO INTEGRADO DE SAUDE,,,M,,,M ,MUNICIPAL,4,5,12701370,JOAQUIM PRADO,S/N,CENTRO,8008789628,-22.574179,-44.964681,4,"ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE",,SAUDE@CRUZEIRO.SP.GOV.BR,1244,,,,,1,1,10.0,NAO,0
158100,3550300158100,35,355030,46392130000380.0,PREFEITURA DO MUNICIPIO DE SAO PAULO,HOSP MUN BRIGADEIRO,,,M,,,M ,MUNICIPAL,4,5,1401002,AVENIDA BRIGADEIRO LUIS ANTONIO,4805,JARDIM PAULISTA,,-23.548,-46.636,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",,diradm.hospbrigadeiro@spdm-pais.org.br,1031,0.0,0.0,0.0,1.0,1,1,3.0,NAO,0
158119,3550300158119,35,355030,46392130000380.0,PREFEITURA DO MUNICIPIO DE SAO PAULO,COMPLEXO HOSPITALAR MUNICIPAL SOROCABANA,,,M,,,M ,MUNICIPAL,4,5,5041001,RUA FAUSTOLO,1633,LAPA,,-23.548,-46.636,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",,,1031,0.0,0.0,0.0,0.0,1,1,4.0,NAO,0
161438,3550300161438,35,355030,46392130000380.0,INTS INSTITUTO NACIONAL DE TECNOLOGIA E SAUDE,HOSPITAL MUNICIPAL GUARAPIRANGA,,,M,,,M ,MUNICIPAL,4,5,4916000,ESTRADA DA RIVIERA,4742,RIVIERA PAULISTA,(11) 3113-9592,-23.705922,-46.741949,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",,,1031,0.0,0.0,0.0,1.0,1,1,,SIM,186
175277,3506000175277,35,350600,,FUNDACAO PARA O DESENVOLVIMENTO MEDICO E HOSPITALAR,HOSPITAL DAS CLINICAS BAURU,,,E,,,E ,ESTADUAL,4,5,17012900,RUA SILVIO MARCHIONE 20 QUADRA 3,320,VILA NOVA CIDADE UNI,14 38814800,-22.315,-49.061,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",46230439001698.0,diretoria@famesp.org.br,3069,,,,,1,1,4.0,NAO,0
249491,3515000249491,35,351500,,ESPACO TERRA ASSISTENCIA A SAUDE LTDA,ESPACO MARIAZINHA,,,M,,,M ,MUNICIPAL,4,5,6846035,ESTRADA JOSE MATIAS DE CAMARGO,491,INVERNADA,11-4085-9057,-23.649,-46.852,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",10934632000186.0,,2062,0.0,0.0,0.0,0.0,1,1,4.0,NAO,0
255661,3550300255661,35,355030,,IMPAR SERVICOS HOSPITALARES S A,IMPAR SERVICOS HOSPITALARES FILIAL SANTA PAULA,,,M,,,M ,MUNICIPAL,4,5,4556901,STO AMARO,2468,BROOKLIN PAULISTA,11 31479999,-23.64251924,-46.69983923,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",60884855003331.0,CONTASAPAGAR1@REDEIMPAR.COM.BR,2054,0.0,0.0,0.0,0.0,1,1,,SIM,199
263192,3550300263192,35,355030,,PREVENT SENIOR ATENDIMENTO A SAUDE LTDA,HOSPITAL SANCTA MAGGIORE DUBAI,,,M,,,M ,MUNICIPAL,4,5,5686902,RUA FRANCISCO TRAMONTANO,100,REAL PARQUE,1140859057,-23.617749,-46.7051417,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",10934632004688.0,luciana.tamaoki@preventsenior.com.br,2062,1.0,0.0,0.0,1.0,1,1,,NAO,171
265187,3550700265187,35,355070,46482832000192.0,PREFEITURA MUNICIPAL DE SAO SEBASTIAO,HOSPITAL DE CLINICAS DE SAO SEBASTIAO COSTA SUL,,,M,,,M ,MUNICIPAL,4,5,11618107,AVENIDA WALKIR VERGANI,878,BOICUCANGA,,-23.78379362,-45.62828064,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",,,1244,1.0,1.0,1.0,1.0,1,1,,SIM,17
393290,3550300393290,35,355030,,PREVENT SENIOR ATENDIMENTO A SAUDE LTDA,HOSPITAL E PRONTO ATENDIMENTO SANCTA MAGGIORE RUSSIA,,,M,,,M ,MUNICIPAL,4,5,5513100,AVENIDA PROFESSOR FRANCISCO MORATO,1133,BUTANTA,(11) 40859000,-23.5853458,-46.7215587,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",10934632004840.0,luciana.tamaoki@preventsenior.com.br,2062,1.0,0.0,0.0,1.0,1,1,,NAO,43
414808,3550300414808,35,355030,,CENTRO DE PARTO HUMANIZADO VILA MARIANA EIRELI,CRIA CASA DE PARTO,,,M,,,M ,MUNICIPAL,4,5,4120070,RUA DOUTOR LOPES DE ALMEIDA,16,VILA MARIANA,11998067090,-23.5958821,-46.6319201,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",36930094000145.0,mmattos@gmail.com,2062,0.0,1.0,0.0,1.0,1,1,8.0,NAO,0
419214,3506000419214,35,350600,,ONE CARE ATENDIMENTO HOSPITALAR LTDA,REDE ONE CARE,,,M,,,M ,MUNICIPAL,4,5,17018786,AVENIDA AFFONSO JOSE AIELLO,14125,RESIDENCIAL VILAGGIO,(14) 3214-3506,-22.3662044,-49.0555454,4,"ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE",37009702000146.0,atendimento@redeone.care.com.br,2054,1.0,0.0,0.0,1.0,1,1,,NAO,3
424870,3511700424870,35,351170,,RENOVARE CENTRO DE SERVICO TERAPEUTICO LTDA,HOSPITAL TERAPEUTICO RENOVARE,,,M,,,M ,MUNICIPAL,4,5,13515000,VIA DOUTOR CELSO SILVEIRA MELLO,1,JARDIM ALVORADA II,19 996385550,-22.51184546,-47.78375386,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",14687471000124.0,renovareadm20@gmail.com,2062,0.0,0.0,0.0,0.0,1,1,,NAO,2
473561,3552500473561,35,355250,,MEDCARE SUZANO SERVICOS MEDICOS LTDA,HOSPITAL SAINT NICHOLAS MEDICAL,,,M,,,M ,MUNICIPAL,4,5,8676000,AVENIDA ANTONIO MARQUES FIGUEIRA,200,CENTRO,1147448750,-23.5371165,-46.3080438,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",1531867000489.0,,2062,1.0,0.0,0.0,1.0,1,1,,NAO,96
507733,3550300507733,35,355030,,HOSPITAL ESPORTE E SAUDE LTDA,HOSPITAL ESPORTE E SAUDE BR SURGERY,,,M,,,M ,MUNICIPAL,4,5,4304010,RUA FAGUNDES FILHO,475,VILA MONTE ALEGRE,11 4369-4300,-23.6265,-46.6293,4,"ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE",7683694000158.0,ROBERTO@BRSURGERY.COM.BR,2062,1.0,0.0,0.0,1.0,1,1,,NAO,14
605107,3552200605107,35,355220,46634044000174.0,PREFEITURA MUNICIPAL DE SOROCABA,CENTRO DE TRANSICAO E ESTABILIZACAO CTE SAO GUILHERME,,,M,,,M ,MUNICIPAL,4,5,18074651,RUA BELMIRO MOREIRA SOARES,1100,JARDIM SAO GUILHERME,15 3239-9245,-23.4514224,-47.4884494,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",,,1244,0.0,0.0,0.0,0.0,0,1,10.0,SIM,0
605484,3552200605484,35,355220,,AMHE MED ASSISTENCIA A SAUDE LTDA,AMHE MED SOROCABA,,,M,,,M ,MUNICIPAL,4,5,18015000,RUA PEDRO JOSE SENGER,213,VILA HARO,,-23.49882431,-47.4442327,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",29174910000253.0,adm.hospital@amhemed.com.br,2062,1.0,0.0,0.0,1.0,0,1,,SIM,100
625396,3557100625396,35,355710,46599809000182.0,PREFEITURA MUNICIPAL DE VOTUPORANGA,UNIDADE DE SUPORTE VENTILATORIO DE VOTUPORANGA,,,M,,,M ,MUNICIPAL,4,5,15502328,RUA OSVALDO PADOVEZ,S/N,PARQUE VILA SAUDE,(17)34051446,-20.4254567,-49.9799557,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",,secretariasaude@votuporanga.sp.gov.br,1244,0.0,0.0,0.0,0.0,1,1,10.0,SIM,0
625469,3552200625469,35,355220,46634044000174.0,MUNICIPIO DE SOROCABA,UPH ZO UNIDADE DE ATENDIMENTO DE SINDROME GRIPAL,,,M,,,M ,MUNICIPAL,4,5,18043004,AVENIDA GENERAL CARNEIRO,1670,VILA LUCY,15 3229-0410,-23.5066889,-47.4837477,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",,ctezo.faturamento1@institutosoleil.com.br,1244,0.0,0.0,0.0,0.0,0,1,10.0,SIM,0
652601,3545800652601,35,354580,,HOSPITAL SAMARITANO DE SANTA BARBARA DOESTE,HOSPITAL SAMARITANO DE SANTA BARBARA DOESTE,,,M,,,M ,MUNICIPAL,4,5,13454214,RUA LIMEIRA,450,LAGOA SECA,19 999284187,-22.7336134,-47.3770967,4,"ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE",40920115000119.0,MIHELLE@SAMARITANOAMERICANA,2062,1.0,1.0,1.0,1.0,1,1,,NAO,22
653101,3529400653101,35,352940,,HOSPITAL SAGRADA FAMILIA EIRELI,HOSPITAL SAGRADA FAMILIA,,,M,,,M ,MUNICIPAL,4,5,9360540,RUA VICENTE ALETTO,31,JARDIM ANCHIETA,114615 6682,-23.68348915,-46.46029314,4,"ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE",28820713000625.0,gerencia.adimistrativa@hospsagradafamilia.com.br,2062,1.0,0.0,0.0,1.0,1,0,,NAO,110
663913,3550300663913,35,355030,,ASSOCIACAO HOSPITALAR JAGUARA,HOSPITAL SAINT PATRICK,,,M,,,M ,MUNICIPAL,4,5,5114000,AV CANDIDO PORTINARI,616,VILA JAGUARA,,-23.5083469,-46.7551251,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",33043256000216.0,regulatorio@cnesolution.com.br,3999,0.0,0.0,0.0,0.0,1,1,,NAO,16
664200,3550300664200,35,355030,46392130000380.0,PREFEITURA DO MUNICIPIO DE SAO PAULO,UNIDADE HOSPITALAR SANTO AMARO,,,M,,,M ,MUNICIPAL,3,5,4753060,AV ADOLFO PINHEIRO,339,SANTO AMARO,11 55556767,-23.3253,-46.381,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",,hd.santoamaro@ints.org.br,1031,1.0,0.0,0.0,1.0,1,1,4.0,NAO,0
665037,3552200665037,35,355220,46634044000174.0,PREFEITURA MUNICIPAL DE SOROCABA,UPH ZONA NORTE UNIDADE DE ATENDIMENTO DE SINDROME GRIPAL,,,M,,,M ,MUNICIPAL,4,5,18070671,AVENIDA IPANEMA,490,VILA NOVA SOROCABA,1532193190,-23.4415153,-47.5331569,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",,dirtecuphzn@institutodiretrizes.com.br,1244,0.0,0.0,0.0,0.0,0,1,10.0,SIM,0
684651,3552200684651,35,355220,46634044000174.0,PREFEITURA MUNICIPAL DE SOROCABA,UPA DO EDEN UNIDADE DE ATENDIMENTO DE SINDROME GRIPAL,,,M,,,M ,MUNICIPAL,4,5,18103750,RUA MIGUEL JOSE GIMENES,75,JD PORTOBELLO,15 3333-2169,-23.427591,-47.415091,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",,marcio.luchesi@upaeden.org.br,1244,0.0,0.0,0.0,0.0,0,1,10.0,SIM,0
684910,3548500684910,35,354850,,UNIMED DE SANTOS COOPERATIVA DE TRABALHO MEDICO,CENTRO MEDICO,,,M,,,M ,MUNICIPAL,4,5,11075320,RUA PARANA,191,VILA MATHIAS,(13) 2102-8100,-23.94833,-46.33286,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",58229691001909.0,,2143,1.0,0.0,0.0,1.0,1,1,,NAO,0
701394,3550300701394,35,355030,,HOSPITAL E MATERNIDADE VIDAS LTDA,HOSPITAL VIDAS ALTA COMPLEXIDADE,,,M,,,M ,MUNICIPAL,4,5,4692000,PROFA MARIA DE LOURDES DE S NOGUEIRA,89,VILA GEA,11 33219450,-23.67544662,-46.6865035,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",96534300000391.0,CONTABILIDADE@HOSPITALVIDAS.COM.BR,2062,1.0,0.0,0.0,1.0,1,1,,NAO,61
743585,3509500743585,35,350950,,FUNDACAO DA AREA DA SAUDE DE CAMPINAS FASCAMP,IOU INSTITUTO DE OTORRINOLARINGOLOGIA E CABECA E PESCOCO D,,,M,,,M ,MUNICIPAL,4,5,13083891,AV PREFEITO JOSE MAGALHAES TEIXEIRA,450,CIDADE UNIVERSITARIA,32890394,-22.8260494,-47.0643169,3,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,17893567000137.0,contato@fascamp.org.br,3069,1.0,0.0,0.0,1.0,1,0,4.0,NAO,0
756350,3549800756350,35,354980,,H B SAUDE PRESTACAO DE SERVICOS MEDICOS LTDA,UNIDADE AIR,,,M,,,M ,MUNICIPAL,4,5,15090365,AVENIDA ANISIO HADDAD,7195,UNIVERSITARIO,17 4009-6711,-20.84278,-49.40187,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",7179361003101.0,liziane.alves@hbsaude.com.br,2062,0.0,0.0,0.0,0.0,1,1,10.0,NAO,0
789585,3525300789585,35,352530,,UNIMED REGIONAL JAU COOPERATIVA DE TRABALHO MEDICO,HOSPITAL UNIMED REGIONAL JAU,,,M,,,M ,MUNICIPAL,4,5,17213700,ANTONIO DE ALMEIDA PACHECO,1991,2A ZONA INDUSTRIAL,14 36028900,-22.30440258,-48.59124184,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",2322043000542.0,diretoria@unimedjau.com.br,2143,1.0,1.0,0.0,1.0,1,1,,NAO,112
792063,3552200792063,35,355220,46634044000174.0,MUNICIPIO DE SOROCABA,UPH ZONA LESTE UNIDADE DE ATENDIMENTO DE SINDROME GRIPAL,,,M,,,M ,MUNICIPAL,4,5,18020003,RUA CORONEL NOGUEIRA PADILHA,2567,VILA HORTENCIA,15 3333-0100,-23.5090511,-47.4908614,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",,gerencia@uphleste.org.br,1244,0.0,0.0,0.0,0.0,1,1,10.0,NAO,0
837164,3505500837164,35,350550,,HOSPITAL DIA DE BARRETOS LTDA,HOSPITAL VILLAGE,,,M,,,M ,MUNICIPAL,4,5,14783165,AVENIDA DOUTOR ARQUIMEDES MACHADO,15,JARDIM RAMOS,17 33211212,-20.56483394,-48.58375311,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",32901144000105.0,,2062,1.0,1.0,1.0,1.0,1,1,,SIM,16
864560,3539500864560,35,353950,,HAPVIDA ASSISTENCIA MEDICA S A,PA PITANGUEIRAS,,,M,,,M ,MUNICIPAL,4,5,14750000,ACRE,139,CENTRO,85 40023633,-21.011493,-48.217806,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",63554067032120.0,FISCAL@HAPVIDA.COM.BR,2054,0.0,0.0,0.0,0.0,1,1,,NAO,6
911437,3549700911437,35,354970,,UNIMED DE SAO JOSE DO RIO PARDO COOP TRABALHO MEDICO,HOSPITAL UNIMED,,,M,,,M ,MUNICIPAL,4,5,13720482,RUA ALEXANDRE CARLOS DE MELO,118,JARDIM AEROPORTO,19 36828888,-21.61318879,-46.88878349,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",96182068000701.0,,2143,1.0,1.0,1.0,1.0,1,1,,NAO,7
